frame.number,frame.time,zbee_nwk.frame_type,zbee_nwk.radius,zbee_nwk.dst,data.len
"86","Feb 25, 2020 19:30:49.008968000 PST",,,,
"87","Feb 25, 2020 19:30:49.020324000 PST","0x00000000","30","0x00000000",
"88","Feb 25, 2020 19:30:49.020867000 PST",,,,
"89","Feb 25, 2020 19:30:49.025315000 PST","0x00000000","30","0x00000000",
"90","Feb 25, 2020 19:30:49.025854000 PST",,,,
"91","Feb 25, 2020 19:30:49.032131000 PST","0x00000000","30","0x0000fb91",
"92","Feb 25, 2020 19:30:49.032667000 PST",,,,
"93","Feb 25, 2020 19:30:49.056535000 PST","0x00000000","30","0x00000000",
"94","Feb 25, 2020 19:30:49.057071000 PST",,,,
"95","Feb 25, 2020 19:30:49.093467000 PST","0x00000000","30","0x0000fb91",
"96","Feb 25, 2020 19:30:49.094007000 PST",,,,
"97","Feb 25, 2020 19:30:49.099641000 PST","0x00000001","30","0x00000000",
"98","Feb 25, 2020 19:30:49.100187000 PST",,,,
"99","Feb 25, 2020 19:30:49.104714000 PST","0x00000001","30","0x00000000",
"100","Feb 25, 2020 19:30:49.105258000 PST",,,,
"101","Feb 25, 2020 19:30:49.147462000 PST","0x00000000","30","0x00000000",
"102","Feb 25, 2020 19:30:49.147999000 PST",,,,
"103","Feb 25, 2020 19:30:49.151546000 PST","0x00000000","30","0x00000000",
"104","Feb 25, 2020 19:30:49.152092000 PST",,,,
"105","Feb 25, 2020 19:30:49.156536000 PST","0x00000000","30","0x0000fb91",
"106","Feb 25, 2020 19:30:49.157076000 PST",,,,
"107","Feb 25, 2020 19:30:49.203188000 PST","0x00000000","30","0x0000fb91",
"108","Feb 25, 2020 19:30:49.203720000 PST",,,,
"109","Feb 25, 2020 19:30:49.211144000 PST","0x00000001","30","0x00000000",
"110","Feb 25, 2020 19:30:49.211617000 PST",,,,
"111","Feb 25, 2020 19:30:49.216158000 PST","0x00000001","30","0x00000000",
"112","Feb 25, 2020 19:30:49.216699000 PST",,,,
"113","Feb 25, 2020 19:30:49.257722000 PST","0x00000000","30","0x00000000",
"114","Feb 25, 2020 19:30:49.258263000 PST",,,,
"115","Feb 25, 2020 19:30:49.263095000 PST","0x00000000","30","0x00000000",
"116","Feb 25, 2020 19:30:49.263563000 PST",,,,
"117","Feb 25, 2020 19:30:49.271522000 PST","0x00000000","30","0x0000fb91",
"118","Feb 25, 2020 19:30:49.272101000 PST",,,,
"119","Feb 25, 2020 19:30:49.296294000 PST","0x00000000","30","0x0000fffd",
"120","Feb 25, 2020 19:30:49.319703000 PST","0x00000000","30","0x0000fb91",
"121","Feb 25, 2020 19:30:49.320243000 PST",,,,
"122","Feb 25, 2020 19:30:49.327866000 PST","0x00000001","30","0x00000000",
"123","Feb 25, 2020 19:30:49.328411000 PST",,,,
"124","Feb 25, 2020 19:30:49.332223000 PST","0x00000001","30","0x00000000",
"125","Feb 25, 2020 19:30:49.332781000 PST",,,,
"126","Feb 25, 2020 19:30:49.338308000 PST","0x00000000","30","0x0000fffd",
"127","Feb 25, 2020 19:30:49.375062000 PST","0x00000000","30","0x00000000",
"128","Feb 25, 2020 19:30:49.375602000 PST",,,,
"129","Feb 25, 2020 19:30:49.378503000 PST","0x00000000","30","0x00000000",
"130","Feb 25, 2020 19:30:49.379050000 PST",,,,
"131","Feb 25, 2020 19:30:49.387759000 PST","0x00000000","30","0x0000fb91",
"132","Feb 25, 2020 19:30:49.388305000 PST",,,,
"133","Feb 25, 2020 19:30:49.428781000 PST","0x00000000","30","0x0000fb91",
"134","Feb 25, 2020 19:30:49.429240000 PST",,,,
"135","Feb 25, 2020 19:30:49.433770000 PST","0x00000001","30","0x00000000",
"136","Feb 25, 2020 19:30:49.434311000 PST",,,,
"137","Feb 25, 2020 19:30:49.438487000 PST","0x00000001","30","0x00000000",
"138","Feb 25, 2020 19:30:49.439031000 PST",,,,
"139","Feb 25, 2020 19:30:49.482053000 PST","0x00000000","30","0x00000000",
"140","Feb 25, 2020 19:30:49.482597000 PST",,,,
"141","Feb 25, 2020 19:30:49.486131000 PST","0x00000000","30","0x00000000",
"142","Feb 25, 2020 19:30:49.486679000 PST",,,,
"143","Feb 25, 2020 19:30:49.492393000 PST","0x00000000","30","0x0000fb91",
"144","Feb 25, 2020 19:30:49.492936000 PST",,,,
"145","Feb 25, 2020 19:30:49.576158000 PST","0x00000000","30","0x0000fb91",
"146","Feb 25, 2020 19:30:49.576697000 PST",,,,
"147","Feb 25, 2020 19:30:49.583053000 PST","0x00000001","30","0x00000000",
"148","Feb 25, 2020 19:30:49.583594000 PST",,,,
"149","Feb 25, 2020 19:30:49.588132000 PST","0x00000001","30","0x00000000",
"150","Feb 25, 2020 19:30:49.588676000 PST",,,,
"151","Feb 25, 2020 19:30:49.629065000 PST","0x00000000","30","0x00000000",
"152","Feb 25, 2020 19:30:49.629605000 PST",,,,
"153","Feb 25, 2020 19:30:49.632241000 PST","0x00000000","30","0x00000000",
"154","Feb 25, 2020 19:30:49.632782000 PST",,,,
"155","Feb 25, 2020 19:30:49.638317000 PST","0x00000000","30","0x0000fb91",
"156","Feb 25, 2020 19:30:49.638864000 PST",,,,
"157","Feb 25, 2020 19:30:49.752754000 PST","0x00000000","30","0x0000fffd",
"158","Feb 25, 2020 19:30:49.839609000 PST","0x00000000","30","0x0000fffd",
"159","Feb 25, 2020 19:30:51.714594000 PST","0x00000001","30","0x00000000",
"160","Feb 25, 2020 19:30:51.715130000 PST",,,,
"161","Feb 25, 2020 19:30:51.761957000 PST","0x00000000","30","0x00000000",
"162","Feb 25, 2020 19:30:51.762499000 PST",,,,
"163","Feb 25, 2020 19:30:51.772299000 PST","0x00000000","30","0x0000fb91",
"164","Feb 25, 2020 19:30:51.772844000 PST",,,,
"165","Feb 25, 2020 19:30:51.776927000 PST","0x00000000","30","0x0000fb91",
"166","Feb 25, 2020 19:30:51.777472000 PST",,,,
"167","Feb 25, 2020 19:30:51.780013000 PST","0x00000001","30","0x00000000",
"168","Feb 25, 2020 19:30:51.780557000 PST",,,,
"169","Feb 25, 2020 19:30:51.784096000 PST","0x00000000","30","0x0000fb91",
"170","Feb 25, 2020 19:30:51.784642000 PST",,,,
"171","Feb 25, 2020 19:30:51.826025000 PST","0x00000000","30","0x00000000",
"172","Feb 25, 2020 19:30:51.826483000 PST",,,,
"173","Feb 25, 2020 19:30:51.992912000 PST","0x00000000","30","0x0000fb91",
"174","Feb 25, 2020 19:30:51.993457000 PST",,,,
"175","Feb 25, 2020 19:30:52.000453000 PST","0x00000001","30","0x00000000",
"176","Feb 25, 2020 19:30:52.000993000 PST",,,,
